attr_id,title,description,country,currency
446,Poland Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the PLN, while a lower than expected reading should be taken as negative/bearish for the PLN.",Poland,PLN
447,Poland Interest Rate Decision,"The National Bank of Poland (NBP) Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the PLN, while a lower than expected rate is negative/bearish for the PLN.",Poland,PLN
448,Ireland Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Ireland,EUR
449,Greece Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Greece,EUR
450,Hungary Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the HUF, while a lower than expected reading should be taken as negative/bearish for the HUF.",Hungary,HUF
451,Hungary Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the HUF, while a lower than expected reading should be taken as negative/bearish for the HUF.",Hungary,HUF
452,Hungary Interest Rate Decision,"The Hungarian National Bank Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the HUF, while a lower than expected rate is negative/bearish for the HUF.",Hungary,HUF
454,Belgium Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Belgium,EUR
455,Czech Republic Consumer Price Index (CPI) MoM,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the CZK, while a lower than expected reading should be taken as negative/bearish for the CZK.",Czech Republic,CZK
456,Czech Republic Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the CZK, while a lower than expected reading should be taken as negative/bearish for the CZK.",Czech Republic,CZK
457,Czech Republic Interest Rate Decision,"The Czech National Bank (CNB) Monetary Policy Committee's decision on where to set the benchmark interest rate.Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the CZK, while a lower than expected rate is negative/bearish for the CZK.",Czech Republic,CZK
458,Austria Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Austria,EUR
459,China Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
460,China Fixed Asset Investment YoY,"Chinese Fixed Asset Investment measures the change in the total spending on non-rural capital investments such as factories, roads, power grids, and property.\r\nA higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
461,China Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
462,China Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
463,China M2 Money Stock YoY,"Monetary aggregates, known also as ""money supply"", is the quantity of currency available within the economy to purchase goods and services. Depending on the degree of liquidity chosen to define an asset as money, various monetary aggregates are distinguished: M0, M1, M2, M3, M4, etc. Not all of them are used by every country. Note that methodology of calculating money supply varies between countries. M2 is a monetary aggregate that includes all physical currency circulating in the economy (banknotes and coins), operational deposits in central bank, money in current accounts, saving accounts, money market deposits and small certificates of deposit. Excess money supply growth potentially can cause inflation and generate fears that the government may tighten money growth by allowing the interest rates to rise which in turn, lowers future prices. M2 = Currency in circulation + demand deposits (private sector) + time and savings deposits (private sector).A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
464,China Producer Price Index (PPI) YoY,"The Producer Price Index (PPI) measures the change in the price of goods sold by manufacturers. It is a leading indicator of consumer price inflation, which accounts for the majority of overall inflation.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
465,China Retail Sales YoY,"Retail Sales measure the change in the total value of inflation-adjusted sales at the retail level. It is the foremost indicator of consumer spending, which accounts for the majority of overall economic activity.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
466,China Trade Balance (USD),"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the CNY, while a lower than expected reading should be taken as negative/bearish for the CNY.",China,CNY
467,South Korea Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
468,South Korea Consumer Confidence,"The Consumer Confidence measures the level of consumer confidence in economic activity. It is a leading indicator as it can predict the consumer spending, which is a major part in the total economic activity. Higher readings point to higher consumer optimism. \r\nA higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
469,South Korea Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the KRW, while a lower than expected reading should be taken as positive/bullish for the KRW.",South Korea,KRW
470,South Korea Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
471,South Korea Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
472,South Korea Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
473,South Korea Interest Rate Decision,"The Bank of Korea (BOK) Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the KRW, while a lower than expected rate is negative/bearish for the KRW.",South Korea,KRW
474,South Korea Retail Sales MoM,"Retail Sales measure the change in the total value of inflation-adjusted sales at the retail level. It is the foremost indicator of consumer spending, which accounts for the majority of overall economic activity.A higher than expected reading should be taken as positive/bullish for the KRW, while a lower than expected reading should be taken as negative/bearish for the KRW.",South Korea,KRW
475,Thailand Trade account (USD),"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the THB, while a lower than expected reading should be taken as negative/bearish for the THB.",Thailand,THB
476,Thailand Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the THB, while a lower than expected reading should be taken as negative/bearish for the THB.",Thailand,THB
477,Thailand Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the THB, while a lower than expected reading should be taken as negative/bearish for the THB.",Thailand,THB
478,Thailand Interest Rate Decision,"The Bank of Thailand Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the THB, while a lower than expected rate is negative/bearish for the THB.",Thailand,THB
479,Thailand Private Consumption MoM,"The Private Consumption Index (PCI) measures monthly private consumption expenditure. A rising value reflects increased consumer spending.A higher than expected reading should be taken as positive/bullish for the THB, while a lower than expected reading should be taken as negative/bearish for the THB.",Thailand,THB
480,Finland Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",Finland,EUR
484,U.S. MBA Delinquency Rates QoQ,"Mortgage Bankers Association (MBA) Delinquency Rates measures the number of loans that are at least one payment past due but excludes loans which are already in the process of foreclosure. The total number of loans serviced each quarter is also included in the data collected. The survey data is seasonally adjusted to account for trends.A higher than expected reading should be taken as negative/bearish for the USD, while a lower than expected reading should be taken as positive/bullish for the USD.",United States,USD
485,U.S. Gasoline Inventories,"Gasoline Inventories measures the change in the number of barrels of commercial gasoline held in inventory by commercial firms during the reported week. The data influences the price of gasoline products which affects inflation.The data has no consistent effect, there are both inflationary and growth implications.",United States,USD
487,Chile Consumer Price Index (CPI) MoM,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
488,Chile Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the CLP, while a lower than expected reading should be taken as positive/bullish for the CLP.",Chile,CLP
489,Chile Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
490,Chile Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
491,Chile Manufacturing Production YoY,"Manufacturing Production measures the change in the total inflation-adjusted value of output produced by manufacturers\r\nA higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
492,Chile Interest Rate Decision,"The Banco de Chile (Bank of Chile) Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the CLP, while a lower than expected rate is negative/bearish for the CLP.",Chile,CLP
493,Chile Retail Sales YoY,"Retail Sales measure the change in the total value of inflation-adjusted sales at the retail level. It is the foremost indicator of consumer spending, which accounts for the majority of overall economic activity.A higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
494,Colombia Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the COP, while a lower than expected reading should be taken as negative/bearish for the COP.",Colombia,COP
495,Colombia Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the COP,\r\nwhile a lower than expected reading should be taken as negative/bearish for the COP.",Colombia,COP
496,Colombia Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the COP, while a lower than expected reading should be taken as negative/bearish for the COP.",Colombia,COP
497,Colombia Interest Rate Decision,"The Banco de la Republica Colombia (Bank of Colombia) Monetary Policy Committee's decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the COP, while a lower than expected rate is negative/bearish for the COP.",Colombia,COP
502,Hong Kong Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the HKD, while a lower than expected reading should be taken as negative/bearish for the HKD.",Hong Kong,HKD
503,Hong Kong Gross Domestic Product (GDP) QoQ,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the HKD, while a lower than expected reading should be taken as negative/bearish for the HKD.",Hong Kong,HKD
504,Indonesia Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the IDR, while a lower than expected reading should be taken as negative/bearish for the IDR.",Indonesia,IDR
505,Indonesia Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the IDR, while a lower than expected reading should be taken as negative/bearish for the IDR.",Indonesia,IDR
506,Malaysia Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the MYR, while a lower than expected reading should be taken as negative/bearish for the MYR.",Malaysia,MYR
507,Malaysia Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the MYR, while a lower than expected reading should be taken as negative/bearish for the MYR.",Malaysia,MYR
508,Malaysia Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the MYR, while a lower than expected reading should be taken as negative/bearish for the MYR.",Malaysia,MYR
509,Singapore Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the SGD, while a lower than expected reading should be taken as positive/bullish for the SGD.",Singapore,SGD
510,Singapore Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the SGD, while a lower than expected reading should be taken as negative/bearish for the SGD.",Singapore,SGD
511,Singapore Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the SGD, while a lower than expected reading should be taken as negative/bearish for the SGD.",Singapore,SGD
512,Singapore Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the SGD, while a lower than expected reading should be taken as negative/bearish for the SGD.",Singapore,SGD
513,Singapore Retail Sales YoY,"Retail Sales measure the change in the total value of inflation-adjusted sales at the retail level. It is the foremost indicator of consumer spending, which accounts for the majority of overall economic activity.A higher than expected reading should be taken as positive/bullish for the SGD, while a lower than expected reading should be taken as negative/bearish for the SGD.",Singapore,SGD
514,Peru Consumer Price Index (CPI) MoM,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the PEN, while a lower than expected reading should be taken as negative/bearish for the PEN.",Peru,PEN
515,Peru Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the PEN, while a lower than expected reading should be taken as negative/bearish for the PEN.",Peru,PEN
516,Peru Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the PEN, while a lower than expected reading should be taken as positive/bullish for the PEN.",Peru,PEN
517,Peru Interest Rate Decision,"The Central Reserve Bank of Peru's Monetary Policy Committee decision on where to set the benchmark interest rate. Traders watch interest rate changes closely as short term interest rates are the primary factor in currency valuation.A higher than expected rate is positive/bullish for the PEN, while a lower than expected rate is negative/bearish for the PEN.",Peru,PEN
518,France Business Survey,"The Business Survey measures industrial activity in France, the world’s fourth largest economy. The data is compiled from a survey of around 4,000 French business leaders from a broad range of sectors.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
519,France Consumer Confidence,"French Consumer Confidence measures the level of consumer confidence in economic activity. It is a leading indicator as it can predict consumer spending, which plays a major role in overall economic activity. Higher readings point to higher consumer optimism.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
520,Germany Current Assessment,"The German Current Assessment rates current business conditions in Germany, without considering future expectations. It is a sub-index of the German Ifo Business Climate Index.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Germany,EUR
521,Germany Business Expectations,"German Business Expectations rates the expectations of businesses in Germany for the following six months. It is is a sub-index of the German Ifo Business Climate Index.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Germany,EUR
522,U.S. Continuing Jobless Claims,"Continuing Jobless Claims measures the number of unemployed individuals who qualify for benefits under unemployment insurance.A higher than expected reading should be taken as negative/bearish for the USD, while a lower than expected reading should be taken as positive/bullish for the USD.",United States,USD
523,U.S. Chicago Fed National Activity,"A monthly report by the Chicago Federal Reserve Bank that tracks economic activity in the 7th district, which is comprised of Indiana, Iowa, Illinois, Michigan and Wisconsin. The index is useful in tracking economic growth and identifying potential inflation.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
524,Vietnam Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the VND, while a lower than expected reading should be taken as negative/bearish for the VND.",Vietnam,VND
525,Italy Consumer Confidence,"Italian Consumer Confidence measures the level of consumer confidence in economic activity. It is a leading indicator as it can predict consumer spending, which plays a major role in overall economic activity. Higher readings point to higher consumer optimism.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Italy,EUR
526,Spain Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the EUR, while a lower than expected reading should be taken as positive/bullish for the EUR.",Spain,EUR
527,France Producer Price Index (PPI) MoM,"The Producer Price Index (PPI) measures the change in the price of goods sold by manufacturers. It is a leading indicator of consumer price inflation, which accounts for the majority of overall inflation.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",France,EUR
528,U.S. Private Nonfarm Payrolls,"Private Nonfarm Payrolls measures the change in the number of total number of paid U.S. workers of any business, excluding general government employees, private household employees, employees of nonprofit organizations that provide assistance to individuals and farm employees.A higher than expected reading should be taken as positive/bullish for the USD, while a lower than expected reading should be taken as negative/bearish for the USD.",United States,USD
531,Italy Producer Price Index (PPI) MoM,"The Producer Price Index (PPI) measures the change in the price of goods sold by manufacturers. It is a leading indicator of consumer price inflation, which accounts for the majority of overall inflation.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Italy,EUR
532,Italy Business Confidence,"Business Confidence rates the current level of business conditions. It helps to analyze the economic situation in the short term. A rising trend indicates an increase in business investment which may lead to higher levels of output.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Italy,EUR
533,Chile Economic Activity YoY,"The Economic Activity Index provides an early estimate for real gross domestic (GDP) performance in Chile.A higher than expected reading should be taken as positive/bullish for the CLP, while a lower than expected reading should be taken as negative/bearish for the CLP.",Chile,CLP
534,Eurozone Business and Consumer Survey,"The Business and Consumer Survey is a composite index which measures the level of confidence in the euro zone. The index is compiled from five different indicator surveys which are taken on a monthly basis, including: industrial, services, consumer, retail, and construction. The survey can indicate potential in both consumer and business spending in the euro zone.A higher than expected reading should be taken as positive/bullish for the EUR, while a lower than expected reading should be taken as negative/bearish for the EUR.",Europe,EUR
536,Mexico Economic Activity YoY,"The Economic Activity Index provides an early estimate for real gross domestic (GDP) performance in Mexico.A higher than expected reading should be taken as positive/bullish for the MXN, while a lower than expected reading should be taken as negative/bearish for the MXN.",Mexico,MXN
537,U.S. NFIB Small Business Optimism,"The National Federation of Independent Business (NFIB) Small Business Optimism Index is a composite of ten seasonally adjusted components. It provides a indication of the health of small businesses in the U.S., which account of roughly 50% of the nation's private workforce.",United States,USD
538,Taiwan Consumer Price Index (CPI) YoY,"The Consumer Price Index (CPI) measures the change in the price of goods and services from the perspective of the consumer. It is a key way to measure changes in purchasing trends and inflation.A higher than expected reading should be taken as positive/bullish for the TWD, while a lower than expected reading should be taken as negative/bearish for the TWD.",Taiwan,TWD
539,Taiwan Trade Balance,"The Trade Balance measures the difference in value between imported and exported goods and services over the reported period. A positive number indicates that more goods and services were exported than imported.A higher than expected reading should be taken as positive/bullish for the TWD, while a lower than expected reading should be taken as negative/bearish for the TWD.",Taiwan,TWD
540,Taiwan Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the TWD, while a lower than expected reading should be taken as negative/bearish for the TWD.",Taiwan,TWD
541,Taiwan Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the TWD, while a lower than expected reading should be taken as negative/bearish for the TWD.",Taiwan,TWD
542,Philippines Gross Domestic Product (GDP) YoY,"Gross Domestic Product (GDP) measures the annualized change in the inflation-adjusted value of all goods and services produced by the economy. It is the broadest measure of economic activity and the primary indicator of the economy's health.A higher than expected reading should be taken as positive/bullish for the PHP, while a lower than expected reading should be taken as negative/bearish for the PHP.",Philippines,PHP
543,Philippines Industrial Production YoY,"Industrial Production measures the change in the total inflation-adjusted value of output produced by manufacturers, mines, and utilities.A higher than expected reading should be taken as positive/bullish for the PHP, while a lower than expected reading should be taken as negative/bearish for the PHP.",Philippines,PHP
547,Italy Industrial New Orders MoM,"Industrial New Orders measures the change in the total value of new purchase orders placed with manufacturers. It is a leading indicator of production.A higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",Italy,EUR
548,Malaysia Unemployment Rate,"The Unemployment Rate measures the percentage of the total work force that is unemployed and actively seeking employment.A higher than expected reading should be taken as negative/bearish for the MYR, while a lower than expected reading should be taken as positive/bullish for the MYR.",Malaysia,MYR
549,Russia Business Confidence,"Business Confidence rates the current level of business conditions. It helps to analyze the economic situation in the short term. A rising trend indicates an increase in business investment which may lead to higher levels of output.A higher than expected reading should be taken as positive/bullish for the RUB, while a lower than expected reading should be taken as negative/bearish for the RUB.",Russian Federation,RUB
550,Russia Trade Balance,"The Trade Balance index measures the difference in worth between exported and imported goods (exports minus imports).\r\nThis is the largest component of a country's balance of payments.\r\nExport data can give reflection on Russia's growth.\r\nImports provide an indication of domestic demand.\r\nBecause foreigners must buy the domestic currency to pay for the nation's exports,\r\nit may have sizable affect on the RUB.\r\nA higher than expected reading should be taken as positive/bullish for the RUB,\r\nwhile a lower than expected reading should be taken as negative/bearish for the RUB.",Russian Federation,RUB
553,Russia Industrial Production YoY,"The Russian Industrial Production measures the change in the total outputs of the Russian factories, mines, and utilities.\r\nIt gives us a good indicator of strength in the manufacturing sector. It can be a leading indicator of manufacturing employment, average earnings, and personal income.\r\nA higher than expected reading should be taken as positive/bullish for the RUB,\r\nwhile a lower than expected reading should be taken as negative/bearish for the RUB.",Russian Federation,RUB
554,Russia Interest Rate Decision,"The Bank Rossii decision on short term interest rate.\r\nThe decision on where to set interest rates depends mostly on growth outlook and inflation. \r\nThe primary objective of the central bank is to achieve price stability.\r\nHigh interest rates attract foreigners looking for the best ""risk-free"" return on their money, which can dramatically increases demand for the nation's currency. \r\nA higher than expected rate is positive/bullish for the RUB,\r\nwhile a lower than expected rate is negative/bearish for the RUB.",Russian Federation,RUB
555,Russia Retail Sales YoY,"The Retail Sales is a monthly measurement of all goods sold by retailers based on a sampling of retail stores of different types and sizes in Russia excluding auto. \r\nIt is an important indicator of consumer spending and also correlated to consumer confidence. A higher than expected reading should be taken as positive/bullish for the RUB,\r\nwhile a lower than expected reading should be taken as negative/bearish for the RUB.",Russian Federation,RUB
556,Russia Unemployment Rate,The Unemployment Rate is a measure of the percentage of the total labor force that is unemployed but actively seeking employment and willing to work in Russia. \r\nA high percentage indicates weakness in the labor market.\r\nA low percentage is a positive indicator for  the labor market in Russia and should be taken as positive for the RUB.,Russian Federation,RUB
557,Spain Business Confidence,"The Business Confidence measures the current business conditions in Spain.\r\nIt helps the analysis of the economic situation in the short term.\r\nA rising trend indicates increase in business investment which\r\nmay lead to higher levels of output.\r\nA higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",Spain,EUR
558,Spain Consumer Confidence,"The Consumer Confidence measures the level of consumer confidence in economic activity.\r\nIt is a leading indicator as it can predict the consumer spending, which is a major\r\npart in the total economic activity. Higher readings point to higher consumer optimism.\r\nA higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",Spain,EUR
559,Spain Trade Balance,"The Trade Balance index measures the difference in worth between exported and imported goods (exports minus imports).\r\nThis is the largest component of a country's balance of payments.\r\nExport data can give reflection on Spain's growth.\r\nImports provide an indication of domestic demand.\r\nBecause foreigners must buy the domestic currency to pay for the nation's exports,\r\nit may have sizable affect on the EUR.\r\nA higher than expected reading should be taken as positive/bullish for the EUR,\r\nwhile a lower than expected reading should be taken as negative/bearish for the EUR.",Spain,EUR
